query_id	doc_id	rank	score
10605	doc-f7722c0505e959c3	1	0.82690430
10605	doc-61ab00409dd34401	2	0.82665825
10605	doc-29bb6e3505e8cb1e	3	0.82538772
10605	doc-0081e300f0c5403c	4	0.82408226
10605	doc-58f081264fec2480	5	0.82156408
10605	doc-72ba35a72fed92d6	6	0.81920326
10605	doc-f952d93f49261451	7	0.81840467
10605	doc-72bc393db4b63d09	8	0.81659204
10605	doc-166a17809c28df2f	9	0.81504273
10605	doc-02f312791c6dac9b	10	0.80966532
10605	doc-9c8a0a64eefd6ce9	11	0.80728698
10605	doc-a6d7c36db2b9fc44	12	0.80620492
10605	doc-04b6ab9d23c18151	13	0.80232310
10605	doc-afb540812c7b668b	14	0.80042458
10605	doc-ff5908f80fde40b7	15	0.79997641
10605	doc-dee6223b3990015e	16	0.79898369
10605	doc-c83d009a3690a72f	17	0.79831469
10605	doc-555085c66c6745a3	18	0.79818660
10605	doc-8df0484750f85409	19	0.79808676
10605	doc-78c12b84556bb09d	20	0.79765517
10605	doc-d3f2c492d639b3ea	21	0.79716343
10605	doc-6bfce5829aca6187	22	0.79656446
10605	doc-4710bbc7d191fa07	23	0.79560840
10605	doc-4e72fa5c1199271e	24	0.79490435
10605	doc-8b6b6bbffde7d317	25	0.79487419
10605	doc-2603f2774de507c7	26	0.79343688
10605	doc-de9f1a76beddefa5	27	0.79287034
10605	doc-9c6ffc8c9455b2c9	28	0.79272425
10605	doc-afdd1eb8e179b8c0	29	0.79228163
10605	doc-b59612de6e7de22e	30	0.79137987
10605	doc-90d3b26e2f635f51	31	0.79108882
10605	doc-9785f9936104288c	32	0.78993416
10605	doc-2242399fb2d0fa30	33	0.78959167
10605	doc-d0b1dd17b184c71c	34	0.78896636
10605	doc-2a9d2c0363aab0aa	35	0.78880274
10605	doc-b10e178df21f9d44	36	0.78877652
10605	doc-7ae9805397edaaa8	37	0.78797489
10605	doc-31869dfad0455f70	38	0.78790629
10605	doc-b74f824b9bff1f8f	39	0.78753448
10605	doc-5d2bd393f1aa2dd7	40	0.78665578
10605	doc-befb0d84963f5ab6	41	0.78664911
10605	doc-757c194f020f514e	42	0.78610116
10605	doc-be8786dc770dcdda	43	0.78498352
10605	doc-9e21c3c4005b3045	44	0.78487945
10605	doc-6ec7f5faed90d6f9	45	0.78425288
10605	doc-56568b6ac823c4cb	46	0.78419095
10605	doc-e0b67ba97343829f	47	0.78388405
10605	doc-2d20028295cdadcd	48	0.78361011
10605	doc-263368468342e04f	49	0.78348517
10605	doc-648bdeb258291f32	50	0.78300583
10605	doc-78b2451976975730	51	0.78242242
10605	doc-7e4425fcd0c03820	52	0.78092825
10605	doc-5631283746b4487a	53	0.78070116
10605	doc-85d8e85c8c989100	54	0.78053546
10605	doc-6f83e7e8b96cef8e	55	0.78050548
10605	doc-7a032428a3e9b53b	56	0.77948308
10605	doc-5653d8ebd9c49f5b	57	0.77932084
10605	doc-62fdebafdfbaeeb7	58	0.77655625
10605	doc-8852092f5a414531	59	0.77627313
10605	doc-0cc75c1cd1e762f0	60	0.77470779
10605	doc-406612505a0b0b9f	61	0.77458847
10605	doc-51e242b84d8d95d9	62	0.77252400
10605	doc-ec51a0bf6e5de09d	63	0.77243656
10605	doc-c3f766b0d2f27d98	64	0.77203405
10605	doc-64a29d3fe4361bbf	65	0.77082133
10605	doc-d3f9bca9c8f7e038	66	0.77034271
10605	doc-4d143f69ba4fd62f	67	0.76976728
10605	doc-918d9ca1fc30b042	68	0.76910472
10605	doc-6f3c7c5898547879	69	0.76789272
10605	doc-cd78c4b91df10277	70	0.76746047
10605	doc-8550e39884f7980a	71	0.76648223
10605	doc-93a0a9a95b2871d0	72	0.76589918
10605	doc-56692af771d1c18a	73	0.76582962
10605	doc-46693ff451d479bf	74	0.76567030
10605	doc-3e7f8b736adab609	75	0.76517993
10605	doc-036fdbb06c478f12	76	0.76451027
10605	doc-f17aaa54c8c1cd07	77	0.76446539
10605	doc-f5841a4f496dbda9	78	0.76354742
10605	doc-40e6b0a653dfbab4	79	0.76322228
10605	doc-522e3b5cdc936e76	80	0.75844240
10605	doc-c01e63b6735fbc8c	81	0.75724649
10605	doc-368d585e959425be	82	0.75652343
10605	doc-6b145832e4c9fd1c	83	0.75556374
10605	doc-0bdc29a62f6c7fc8	84	0.75483137
10605	doc-1b890cdbb1fe2f6b	85	0.75468075
10605	doc-2128a4216d980fb0	86	0.75422013
10605	doc-5e763a5323f3b22d	87	0.75276577
10605	doc-309c814d4ba7f736	88	0.75075436
10605	doc-491ad0d7a59984bd	89	0.75072056
10605	doc-db59382f2a64667d	90	0.74999487
10605	doc-9b4625f96a64ee0a	91	0.74969256
10605	doc-14c0a27f97c18e08	92	0.74879277
10605	doc-6717224309415d79	93	0.74854869
10605	doc-463b3510c3cef8b8	94	0.74802631
10605	doc-0decdab90027cfdd	95	0.74785268
10605	doc-b23378d73e714cb1	96	0.74762422
10605	doc-167395d44df300fe	97	0.74527216
10605	doc-ab73ac43b6251bb7	98	0.74467087
10605	doc-27fa34d8322e71c8	99	0.73572749
10605	doc-60a03530f37caeee	100	0.72092181
10005	doc-9c8a0a64eefd6ce9	1	0.84218580
10005	doc-72ba35a72fed92d6	2	0.83843249
10005	doc-0081e300f0c5403c	3	0.83051813
10005	doc-04b6ab9d23c18151	4	0.82801437
10005	doc-dee6223b3990015e	5	0.82578921
10005	doc-afb540812c7b668b	6	0.82405770
10005	doc-f7722c0505e959c3	7	0.82174736
10005	doc-5d2bd393f1aa2dd7	8	0.81873941
10005	doc-b59612de6e7de22e	9	0.81732798
10005	doc-29bb6e3505e8cb1e	10	0.81681681
10005	doc-c83d009a3690a72f	11	0.81677103
10005	doc-78b2451976975730	12	0.81543094
10005	doc-72bc393db4b63d09	13	0.81497812
10005	doc-a6d7c36db2b9fc44	14	0.81382740
10005	doc-7a032428a3e9b53b	15	0.81341165
10005	doc-555085c66c6745a3	16	0.81277585
10005	doc-8df0484750f85409	17	0.81269127
10005	doc-afdd1eb8e179b8c0	18	0.81253558
10005	doc-ff5908f80fde40b7	19	0.81164145
10005	doc-befb0d84963f5ab6	20	0.80997390
10005	doc-9c6ffc8c9455b2c9	21	0.80846560
10005	doc-b10e178df21f9d44	22	0.80727774
10005	doc-02f312791c6dac9b	23	0.80719924
10005	doc-9785f9936104288c	24	0.80709279
10005	doc-263368468342e04f	25	0.80699837
10005	doc-d3f2c492d639b3ea	26	0.80560553
10005	doc-2d20028295cdadcd	27	0.80536485
10005	doc-2a9d2c0363aab0aa	28	0.80465084
10005	doc-3e7f8b736adab609	29	0.80364609
10005	doc-58f081264fec2480	30	0.80312490
10005	doc-6ec7f5faed90d6f9	31	0.80164075
