query_id	doc_id	rank	score
10005	doc-90d3b26e2f635f51	1	0.03109932
10005	doc-29bb6e3505e8cb1e	2	0.01639344
10005	doc-72ba35a72fed92d6	3	0.01612903
10005	doc-72bc393db4b63d09	4	0.01587302
10005	doc-2a9d2c0363aab0aa	5	0.01562500
10005	doc-4710bbc7d191fa07	6	0.01538462
10005	doc-2d20028295cdadcd	7	0.01515152
10005	doc-d3f2c492d639b3ea	8	0.01492537
10005	doc-befb0d84963f5ab6	9	0.01449275
10005	doc-be8786dc770dcdda	10	0.01428571
10005	doc-9c6ffc8c9455b2c9	11	0.01408451
10005	doc-afb540812c7b668b	12	0.01388889
10005	doc-0081e300f0c5403c	13	0.01369863
10005	doc-7ae9805397edaaa8	14	0.01351351
10005	doc-de9f1a76beddefa5	15	0.01333333
10005	doc-58f081264fec2480	16	0.01315789
10005	doc-406612505a0b0b9f	17	0.01298701
10005	doc-1b890cdbb1fe2f6b	18	0.01282051
10005	doc-555085c66c6745a3	19	0.01265823
10005	doc-6f83e7e8b96cef8e	20	0.01250000
10005	doc-93a0a9a95b2871d0	21	0.01234568
10005	doc-04b6ab9d23c18151	22	0.01219512
10005	doc-263368468342e04f	23	0.01204819
10005	doc-51e242b84d8d95d9	24	0.01190476
10005	doc-ff5908f80fde40b7	25	0.01176471
10005	doc-9c8a0a64eefd6ce9	26	0.01162791
10005	doc-b74f824b9bff1f8f	27	0.01149425
10005	doc-78b2451976975730	28	0.01136364
10005	doc-7e4425fcd0c03820	29	0.01123596
10005	doc-8df0484750f85409	30	0.01111111
10005	doc-5653d8ebd9c49f5b	31	0.01098901
10005	doc-2603f2774de507c7	32	0.01086957
10005	doc-afdd1eb8e179b8c0	33	0.01075269
10005	doc-2242399fb2d0fa30	34	0.01063830
10005	doc-b59612de6e7de22e	35	0.01052632
10005	doc-9785f9936104288c	36	0.01041667
10005	doc-b10e178df21f9d44	37	0.01030928
10005	doc-a6d7c36db2b9fc44	38	0.01020408
10005	doc-d0b1dd17b184c71c	39	0.01010101
10005	doc-02f312791c6dac9b	40	0.01000000
10005	doc-14c0a27f97c18e08	41	0.00990099
10005	doc-6ec7f5faed90d6f9	42	0.00980392
10005	doc-dee6223b3990015e	43	0.00970874
10005	doc-31869dfad0455f70	44	0.00961538
10005	doc-3e7f8b736adab609	45	0.00952381
10005	doc-f7722c0505e959c3	46	0.00943396
10005	doc-6bfce5829aca6187	47	0.00934579
10005	doc-757c194f020f514e	48	0.00925926
10005	doc-166a17809c28df2f	49	0.00917431
10005	doc-8852092f5a414531	50	0.00909091
10005	doc-64a29d3fe4361bbf	51	0.00900901
10005	doc-c83d009a3690a72f	52	0.00892857
10005	doc-648bdeb258291f32	53	0.00884956
10005	doc-0cc75c1cd1e762f0	54	0.00877193
10005	doc-e0b67ba97343829f	55	0.00869565
10005	doc-85d8e85c8c989100	56	0.00862069
10005	doc-9b4625f96a64ee0a	57	0.00854701
10005	doc-d3f9bca9c8f7e038	58	0.00847458
10005	doc-56692af771d1c18a	59	0.00840336
10005	doc-5d2bd393f1aa2dd7	60	0.00833333
