query_variant,method,MRR@10,Recall@10,NDCG@10,Recall@100
native,BM25,0.7186666666666666,0.79,0.7365956826934277,0.79
native,Dense,0.9075952380952381,0.98,0.9256737097364147,1.0
native,Hybrid RRF,0.8632619047619048,0.98,0.8925758486311075,1.0
native,Best weighted fusion,0.9489285714285713,0.98,0.956567991521211,1.0
romanized,BM25,0.0,0.0,0.0,0.0
romanized,Dense,0.2541468253968254,0.45,0.29987159087746174,1.0
romanized,Hybrid RRF,0.2541468253968254,0.45,0.29987159087746174,1.0
romanized,Best weighted fusion,0.2541468253968254,0.45,0.29987159087746174,1.0
mixed,BM25,0.3593333333333333,0.41,0.3720557310131809,0.41
mixed,Dense,0.6181190476190477,0.83,0.6678670259455167,1.0
mixed,Hybrid RRF,0.6515277777777777,0.89,0.7086906554198572,1.0
mixed,Best weighted fusion,0.667845238095238,0.84,0.7076306947600745,1.0
