query_id	doc_id	rank	score
10005	doc-29bb6e3505e8cb1e	1	0.90000000
10005	doc-2a9d2c0363aab0aa	2	0.77734586
10005	doc-4710bbc7d191fa07	3	0.76896409
10005	doc-90d3b26e2f635f51	4	0.75661900
10005	doc-58f081264fec2480	5	0.73954580
10005	doc-72bc393db4b63d09	6	0.73346623
10005	doc-ff5908f80fde40b7	7	0.72540268
10005	doc-72ba35a72fed92d6	8	0.72479814
10005	doc-d3f2c492d639b3ea	9	0.70806805
10005	doc-9c6ffc8c9455b2c9	10	0.70560557
10005	doc-2603f2774de507c7	11	0.70246153
10005	doc-befb0d84963f5ab6	12	0.68331408
10005	doc-7ae9805397edaaa8	13	0.65009276
10005	doc-64a29d3fe4361bbf	14	0.64041322
10005	doc-8550e39884f7980a	15	0.63763408
10005	doc-555085c66c6745a3	16	0.61108908
10005	doc-6f83e7e8b96cef8e	17	0.60829904
10005	doc-7e4425fcd0c03820	18	0.59731552
10005	doc-e0b67ba97343829f	19	0.59144291
10005	doc-f952d93f49261451	20	0.58967910
10005	doc-6b145832e4c9fd1c	21	0.57532280
10005	doc-2d20028295cdadcd	22	0.57118365
10005	doc-51e242b84d8d95d9	23	0.56358847
10005	doc-be8786dc770dcdda	24	0.55389415
10005	doc-166a17809c28df2f	25	0.54024275
10005	doc-8df0484750f85409	26	0.53826887
10005	doc-5653d8ebd9c49f5b	27	0.53252075
10005	doc-263368468342e04f	28	0.53074916
10005	doc-f17aaa54c8c1cd07	29	0.52569504
10005	doc-9c8a0a64eefd6ce9	30	0.50694206
10005	doc-b74f824b9bff1f8f	31	0.50584114
10005	doc-406612505a0b0b9f	32	0.49841946
10005	doc-648bdeb258291f32	33	0.49107092
10005	doc-78b2451976975730	34	0.48065614
10005	doc-02f312791c6dac9b	35	0.47376509
10005	doc-6ec7f5faed90d6f9	36	0.46730662
10005	doc-afdd1eb8e179b8c0	37	0.46338921
10005	doc-6bfce5829aca6187	38	0.44474593
10005	doc-de9f1a76beddefa5	39	0.44029634
10005	doc-0081e300f0c5403c	40	0.43981085
10005	doc-d0b1dd17b184c71c	41	0.43632292
10005	doc-62fdebafdfbaeeb7	42	0.43588955
10005	doc-a6d7c36db2b9fc44	43	0.43240473
10005	doc-368d585e959425be	44	0.42351879
10005	doc-9785f9936104288c	45	0.42071320
10005	doc-dee6223b3990015e	46	0.42060894
10005	doc-4d143f69ba4fd62f	47	0.41674522
10005	doc-1b890cdbb1fe2f6b	48	0.41039645
10005	doc-8b6b6bbffde7d317	49	0.40882949
10005	doc-036fdbb06c478f12	50	0.40859374
10005	doc-0decdab90027cfdd	51	0.40716683
10005	doc-56692af771d1c18a	52	0.39911183
10005	doc-cd78c4b91df10277	53	0.38929769
10005	doc-93a0a9a95b2871d0	54	0.38030049
10005	doc-b59612de6e7de22e	55	0.37645700
10005	doc-04b6ab9d23c18151	56	0.37042956
10005	doc-2242399fb2d0fa30	57	0.35518863
10005	doc-f7722c0505e959c3	58	0.34937982
10005	doc-b23378d73e714cb1	59	0.34616187
10005	doc-3e7f8b736adab609	60	0.34580319
10005	doc-757c194f020f514e	61	0.33428516
10005	doc-46693ff451d479bf	62	0.33273376
10005	doc-d3f9bca9c8f7e038	63	0.32197431
10005	doc-14c0a27f97c18e08	64	0.31204502
10005	doc-5d2bd393f1aa2dd7	65	0.31089820
10005	doc-6f3c7c5898547879	66	0.30997000
10005	doc-afb540812c7b668b	67	0.30168782
10005	doc-4e72fa5c1199271e	68	0.28452436
10005	doc-0cc75c1cd1e762f0	69	0.28210623
10005	doc-8852092f5a414531	70	0.27864242
10005	doc-0bdc29a62f6c7fc8	71	0.27857006
10005	doc-309c814d4ba7f736	72	0.27628652
10005	doc-c83d009a3690a72f	73	0.27569211
10005	doc-5631283746b4487a	74	0.27225008
10005	doc-2128a4216d980fb0	75	0.26726832
10005	doc-61ab00409dd34401	76	0.26115763
10005	doc-ec51a0bf6e5de09d	77	0.25523678
10005	doc-31869dfad0455f70	78	0.24999749
10005	doc-918d9ca1fc30b042	79	0.24840563
10005	doc-7a032428a3e9b53b	80	0.24665894
10005	doc-b10e178df21f9d44	81	0.24295316
10005	doc-c3f766b0d2f27d98	82	0.24016857
10005	doc-5e763a5323f3b22d	83	0.22064378
10005	doc-522e3b5cdc936e76	84	0.21679795
10005	doc-56568b6ac823c4cb	85	0.21581140
10005	doc-9b4625f96a64ee0a	86	0.21482797
10005	doc-9e21c3c4005b3045	87	0.20172585
10005	doc-491ad0d7a59984bd	88	0.19163629
10005	doc-85d8e85c8c989100	89	0.16022079
10005	doc-c01e63b6735fbc8c	90	0.15254936
10005	doc-6717224309415d79	91	0.15159082
10005	doc-f5841a4f496dbda9	92	0.12986964
10005	doc-27fa34d8322e71c8	93	0.08063479
10005	doc-78c12b84556bb09d	94	0.07277741
10005	doc-ab73ac43b6251bb7	95	0.06467184
10005	doc-db59382f2a64667d	96	0.05114726
10005	doc-60a03530f37caeee	97	0.04837356
10005	doc-167395d44df300fe	98	0.04652339
10005	doc-40e6b0a653dfbab4	99	0.04232200
10005	doc-463b3510c3cef8b8	100	0.00000000
10007	doc-90d3b26e2f635f51	1	0.90000000
10007	doc-27fa34d8322e71c8	2	0.73220978
10007	doc-4710bbc7d191fa07	3	0.72357754
10007	doc-51e242b84d8d95d9	4	0.62707001
10007	doc-f17aaa54c8c1cd07	5	0.60803738
10007	doc-2603f2774de507c7	6	0.60705480
10007	doc-555085c66c6745a3	7	0.60589042
10007	doc-309c814d4ba7f736	8	0.58447247
10007	doc-918d9ca1fc30b042	9	0.58125537
10007	doc-9c6ffc8c9455b2c9	10	0.57984595
10007	doc-befb0d84963f5ab6	11	0.56849338
10007	doc-6ec7f5faed90d6f9	12	0.56670698
10007	doc-72ba35a72fed92d6	13	0.55843348
10007	doc-6f83e7e8b96cef8e	14	0.55021410
10007	doc-cd78c4b91df10277	15	0.54990461
10007	doc-afdd1eb8e179b8c0	16	0.54423349
10007	doc-29bb6e3505e8cb1e	17	0.54356283
10007	doc-2a9d2c0363aab0aa	18	0.52698421
10007	doc-b23378d73e714cb1	19	0.51649504
10007	doc-5653d8ebd9c49f5b	20	0.51601287
10007	doc-14c0a27f97c18e08	21	0.50560153
10007	doc-9785f9936104288c	22	0.49894601
10007	doc-0decdab90027cfdd	23	0.48567935
10007	doc-757c194f020f514e	24	0.47635943
10007	doc-d0b1dd17b184c71c	25	0.47424651
10007	doc-64a29d3fe4361bbf	26	0.47391757
10007	doc-d3f2c492d639b3ea	27	0.45997356
10007	doc-522e3b5cdc936e76	28	0.45809960
10007	doc-40e6b0a653dfbab4	29	0.45764905
10007	doc-406612505a0b0b9f	30	0.44587876
10007	doc-e0b67ba97343829f	31	0.43511050
10007	doc-8b6b6bbffde7d317	32	0.43487702
10007	doc-62fdebafdfbaeeb7	33	0.43164107
10007	doc-166a17809c28df2f	34	0.41813727
10007	doc-72bc393db4b63d09	35	0.41732190
10007	doc-a6d7c36db2b9fc44	36	0.41696803
10007	doc-4d143f69ba4fd62f	37	0.41299393
10007	doc-6bfce5829aca6187	38	0.41191041
10007	doc-ec51a0bf6e5de09d	39	0.40748029
10007	doc-b59612de6e7de22e	40	0.40639191
10007	doc-0081e300f0c5403c	41	0.40437689
10007	doc-78b2451976975730	42	0.38948739
10007	doc-4e72fa5c1199271e	43	0.38744318
10007	doc-f952d93f49261451	44	0.38443038
10007	doc-648bdeb258291f32	45	0.38230288
10007	doc-6b145832e4c9fd1c	46	0.37457600
10007	doc-be8786dc770dcdda	47	0.37318847
10007	doc-8550e39884f7980a	48	0.37131512
10007	doc-46693ff451d479bf	49	0.36608178
10007	doc-04b6ab9d23c18151	50	0.35750305
10007	doc-02f312791c6dac9b	51	0.35533055
10007	doc-9c8a0a64eefd6ce9	52	0.35293795
10007	doc-263368468342e04f	53	0.35263940
10007	doc-31869dfad0455f70	54	0.34543543
10007	doc-5631283746b4487a	55	0.33983971
10007	doc-58f081264fec2480	56	0.33138137
10007	doc-7ae9805397edaaa8	57	0.32316199
10007	doc-368d585e959425be	58	0.31806667
10007	doc-9e21c3c4005b3045	59	0.31468054
10007	doc-036fdbb06c478f12	60	0.31405244
10007	doc-85d8e85c8c989100	61	0.30330486
10007	doc-3e7f8b736adab609	62	0.30127099
10007	doc-0cc75c1cd1e762f0	63	0.29979408
10007	doc-5d2bd393f1aa2dd7	64	0.29916841
10007	doc-0bdc29a62f6c7fc8	65	0.29514567
10007	doc-c01e63b6735fbc8c	66	0.29071615
10007	doc-56692af771d1c18a	67	0.29019811
10007	doc-ab73ac43b6251bb7	68	0.28983816
10007	doc-7a032428a3e9b53b	69	0.28562023
10007	doc-6717224309415d79	70	0.26847250
10007	doc-5e763a5323f3b22d	71	0.26580993
10007	doc-1b890cdbb1fe2f6b	72	0.26560563
