method,normalization,alpha,MRR@10,Recall@10,NDCG@10,Recall@100
weighted_minmax_alpha_0.0,minmax,0.0,0.9075952380952381,0.98,0.9256737097364147,1.0
weighted_minmax_alpha_0.1,minmax,0.1,0.9489285714285713,0.98,0.956567991521211,1.0
weighted_minmax_alpha_0.2,minmax,0.2,0.9355952380952381,0.99,0.9491865865926401,1.0
weighted_minmax_alpha_0.3,minmax,0.3,0.8805952380952381,0.99,0.9085888594855005,1.0
weighted_minmax_alpha_0.4,minmax,0.4,0.8700952380952381,0.99,0.9007692170485412,1.0
weighted_minmax_alpha_0.5,minmax,0.5,0.8467619047619047,0.99,0.8833106408171527,1.0
weighted_minmax_alpha_0.6,minmax,0.6,0.8417619047619047,0.99,0.8792541176168038,1.0
weighted_minmax_alpha_0.7,minmax,0.7,0.8391785714285714,0.99,0.8770991594694777,1.0
weighted_minmax_alpha_0.8,minmax,0.8,0.8317619047619047,0.98,0.8692541176168038,1.0
weighted_minmax_alpha_0.9,minmax,0.9,0.8237619047619047,0.98,0.8631226456891491,1.0
weighted_minmax_alpha_1.0,minmax,1.0,0.7186666666666666,0.79,0.7365956826934277,0.79
weighted_zscore_alpha_0.0,zscore,0.0,0.9075952380952381,0.98,0.9256737097364147,1.0
weighted_zscore_alpha_0.1,zscore,0.1,0.9130952380952381,0.98,0.9298026497090887,1.0
weighted_zscore_alpha_0.2,zscore,0.2,0.9297619047619048,0.98,0.9421840546376594,1.0
weighted_zscore_alpha_0.3,zscore,0.3,0.9367857142857143,0.99,0.9495439557235922,1.0
weighted_zscore_alpha_0.4,zscore,0.4,0.9482619047619048,0.99,0.9581493422486753,1.0
weighted_zscore_alpha_0.5,zscore,0.5,0.9322619047619048,0.98,0.9441865865926401,1.0
weighted_zscore_alpha_0.6,zscore,0.6,0.9011904761904762,0.98,0.9207545781138511,1.0
weighted_zscore_alpha_0.7,zscore,0.7,0.8567619047619047,0.97,0.8850890348668017,1.0
weighted_zscore_alpha_0.8,zscore,0.8,0.8287619047619047,0.96,0.8618905194562523,1.0
weighted_zscore_alpha_0.9,zscore,0.9,0.8089285714285714,0.94,0.8414693382287358,1.0
weighted_zscore_alpha_1.0,zscore,1.0,0.7186666666666666,0.79,0.7365956826934277,0.79
weighted_rank_alpha_0.0,rank,0.0,0.9075952380952381,0.98,0.9256737097364147,1.0
weighted_rank_alpha_0.1,rank,0.1,0.9095238095238095,0.99,0.9294452805781366,1.0
weighted_rank_alpha_0.2,rank,0.2,0.9142619047619047,0.99,0.9332923048078439,1.0
weighted_rank_alpha_0.3,rank,0.3,0.9150952380952382,0.99,0.9339855392271099,1.0
weighted_rank_alpha_0.4,rank,0.4,0.9142619047619047,0.99,0.9332923048078439,1.0
weighted_rank_alpha_0.5,rank,0.5,0.8787619047619047,0.99,0.9070191500494573,1.0
weighted_rank_alpha_0.6,rank,0.6,0.8654285714285714,0.99,0.8972563401923156,1.0
weighted_rank_alpha_0.7,rank,0.7,0.8287619047619047,0.99,0.8698749352637448,1.0
weighted_rank_alpha_0.8,rank,0.8,0.8219285714285713,0.99,0.8643001619177404,1.0
weighted_rank_alpha_0.9,rank,0.9,0.8142619047619047,0.99,0.858007920662898,1.0
weighted_rank_alpha_1.0,rank,1.0,0.7186666666666666,0.79,0.7365956826934277,0.79
