query_id	doc_id	rank	score
10005	doc-90d3b26e2f635f51	1	0.88778329
10005	doc-9c8a0a64eefd6ce9	2	0.30000000
10005	doc-72ba35a72fed92d6	3	0.28982926
10005	doc-0081e300f0c5403c	4	0.26838287
10005	doc-04b6ab9d23c18151	5	0.26159817
10005	doc-dee6223b3990015e	6	0.25556842
10005	doc-afb540812c7b668b	7	0.25087636
10005	doc-f7722c0505e959c3	8	0.24461579
10005	doc-5d2bd393f1aa2dd7	9	0.23646482
10005	doc-b59612de6e7de22e	10	0.23264012
10005	doc-29bb6e3505e8cb1e	11	0.23125495
10005	doc-c83d009a3690a72f	12	0.23113090
10005	doc-78b2451976975730	13	0.22749951
10005	doc-72bc393db4b63d09	14	0.22627246
10005	doc-a6d7c36db2b9fc44	15	0.22315423
10005	doc-7a032428a3e9b53b	16	0.22202763
10005	doc-555085c66c6745a3	17	0.22030473
10005	doc-8df0484750f85409	18	0.22007554
10005	doc-afdd1eb8e179b8c0	19	0.21965365
10005	doc-ff5908f80fde40b7	20	0.21723073
10005	doc-befb0d84963f5ab6	21	0.21271199
10005	doc-9c6ffc8c9455b2c9	22	0.20862479
10005	doc-b10e178df21f9d44	23	0.20540592
10005	doc-02f312791c6dac9b	24	0.20519320
10005	doc-9785f9936104288c	25	0.20490474
10005	doc-263368468342e04f	26	0.20464888
10005	doc-d3f2c492d639b3ea	27	0.20087455
10005	doc-2d20028295cdadcd	28	0.20022236
10005	doc-2a9d2c0363aab0aa	29	0.19828753
10005	doc-3e7f8b736adab609	30	0.19556485
10005	doc-58f081264fec2480	31	0.19415253
10005	doc-6ec7f5faed90d6f9	32	0.19013077
10005	doc-de9f1a76beddefa5	33	0.18934143
10005	doc-648bdeb258291f32	34	0.18796723
10005	doc-b74f824b9bff1f8f	35	0.18786225
10005	doc-7ae9805397edaaa8	36	0.18650277
10005	doc-61ab00409dd34401	37	0.18581987
10005	doc-406612505a0b0b9f	38	0.18395192
10005	doc-9e21c3c4005b3045	39	0.18124992
10005	doc-6f83e7e8b96cef8e	40	0.17958694
10005	doc-5653d8ebd9c49f5b	41	0.17519529
10005	doc-31869dfad0455f70	42	0.17458119
10005	doc-6bfce5829aca6187	43	0.17314256
10005	doc-368d585e959425be	44	0.17295019
10005	doc-56692af771d1c18a	45	0.17082947
10005	doc-4710bbc7d191fa07	46	0.17074969
10005	doc-166a17809c28df2f	47	0.16974216
10005	doc-0cc75c1cd1e762f0	48	0.16883895
10005	doc-be8786dc770dcdda	49	0.16677798
10005	doc-e0b67ba97343829f	50	0.16597073
10005	doc-5631283746b4487a	51	0.16555692
10005	doc-757c194f020f514e	52	0.16344766
10005	doc-51e242b84d8d95d9	53	0.16155339
10005	doc-64a29d3fe4361bbf	54	0.16097274
10005	doc-85d8e85c8c989100	55	0.16084982
10005	doc-7e4425fcd0c03820	56	0.15773853
10005	doc-d0b1dd17b184c71c	57	0.15413928
10005	doc-2242399fb2d0fa30	58	0.15337951
10005	doc-62fdebafdfbaeeb7	59	0.15171233
10005	doc-46693ff451d479bf	60	0.14868322
10005	doc-cd78c4b91df10277	61	0.14719727
10005	doc-d3f9bca9c8f7e038	62	0.14398840
10005	doc-309c814d4ba7f736	63	0.14199545
10005	doc-0bdc29a62f6c7fc8	64	0.14115782
10005	doc-14c0a27f97c18e08	65	0.13798144
10005	doc-f5841a4f496dbda9	66	0.13709696
10005	doc-8852092f5a414531	67	0.13675487
10005	doc-8b6b6bbffde7d317	68	0.13581614
10005	doc-918d9ca1fc30b042	69	0.13294001
10005	doc-2603f2774de507c7	70	0.13044474
10005	doc-036fdbb06c478f12	71	0.12968819
10005	doc-1b890cdbb1fe2f6b	72	0.12822692
10005	doc-5e763a5323f3b22d	73	0.12790698
10005	doc-f952d93f49261451	74	0.12691381
10005	doc-93a0a9a95b2871d0	75	0.12476417
10005	doc-f17aaa54c8c1cd07	76	0.11993272
10005	doc-2128a4216d980fb0	77	0.11670157
10005	doc-6b145832e4c9fd1c	78	0.11559614
10005	doc-8550e39884f7980a	79	0.11358524
10005	doc-4d143f69ba4fd62f	80	0.11319923
10005	doc-ec51a0bf6e5de09d	81	0.11295630
10005	doc-78c12b84556bb09d	82	0.10043778
10005	doc-6f3c7c5898547879	83	0.09933976
10005	doc-ab73ac43b6251bb7	84	0.09801275
10005	doc-40e6b0a653dfbab4	85	0.09784994
10005	doc-491ad0d7a59984bd	86	0.09567787
10005	doc-9b4625f96a64ee0a	87	0.09432597
10005	doc-4e72fa5c1199271e	88	0.08558240
10005	doc-6717224309415d79	89	0.08026994
10005	doc-c3f766b0d2f27d98	90	0.08011407
10005	doc-522e3b5cdc936e76	91	0.07966668
10005	doc-c01e63b6735fbc8c	92	0.07343244
10005	doc-167395d44df300fe	93	0.06857498
10005	doc-b23378d73e714cb1	94	0.05861260
10005	doc-56568b6ac823c4cb	95	0.05274470
10005	doc-0decdab90027cfdd	96	0.04753206
10005	doc-db59382f2a64667d	97	0.03738007
10005	doc-60a03530f37caeee	98	0.02893111
10005	doc-463b3510c3cef8b8	99	0.00751733
10005	doc-27fa34d8322e71c8	100	0.00000000
10007	doc-46693ff451d479bf	1	0.88192870
10007	doc-555085c66c6745a3	2	0.30000000
10007	doc-78b2451976975730	3	0.25102028
10007	doc-72bc393db4b63d09	4	0.19512385
10007	doc-3e7f8b736adab609	5	0.19503114
10007	doc-be8786dc770dcdda	6	0.19467177
10007	doc-b74f824b9bff1f8f	7	0.18397785
10007	doc-afb540812c7b668b	8	0.18112666
10007	doc-afdd1eb8e179b8c0	9	0.17639993
10007	doc-72ba35a72fed92d6	10	0.17068628
10007	doc-de9f1a76beddefa5	11	0.17051454
10007	doc-5653d8ebd9c49f5b	12	0.16999916
10007	doc-90d3b26e2f635f51	13	0.16876742
10007	doc-6f83e7e8b96cef8e	14	0.15732494
10007	doc-0081e300f0c5403c	15	0.15332761
10007	doc-c83d009a3690a72f	16	0.15317901
10007	doc-b59612de6e7de22e	17	0.15062809
10007	doc-9e21c3c4005b3045	18	0.14664861
10007	doc-93a0a9a95b2871d0	19	0.14651759
10007	doc-29bb6e3505e8cb1e	20	0.14642098
10007	doc-02f312791c6dac9b	21	0.14346969
10007	doc-85d8e85c8c989100	22	0.14242328
10007	doc-4710bbc7d191fa07	23	0.13999616
10007	doc-2a9d2c0363aab0aa	24	0.13643639
10007	doc-2128a4216d980fb0	25	0.13636200
10007	doc-64a29d3fe4361bbf	26	0.13580276
10007	doc-6ec7f5faed90d6f9	27	0.13263958
10007	doc-b10e178df21f9d44	28	0.13180921
10007	doc-ec51a0bf6e5de09d	29	0.12984169
10007	doc-648bdeb258291f32	30	0.12982031
10007	doc-9c8a0a64eefd6ce9	31	0.12874698
10007	doc-a6d7c36db2b9fc44	32	0.12775248
10007	doc-d3f9bca9c8f7e038	33	0.12731695
10007	doc-5d2bd393f1aa2dd7	34	0.12660059
10007	doc-51e242b84d8d95d9	35	0.12530611
10007	doc-2d20028295cdadcd	36	0.12354566
10007	doc-2242399fb2d0fa30	37	0.12224776
10007	doc-04b6ab9d23c18151	38	0.12113973
10007	doc-263368468342e04f	39	0.12064312
10007	doc-dee6223b3990015e	40	0.11916110
10007	doc-6b145832e4c9fd1c	41	0.11819380
10007	doc-7e4425fcd0c03820	42	0.11772060
10007	doc-8df0484750f85409	43	0.11739287
10007	doc-522e3b5cdc936e76	44	0.11712213
10007	doc-9785f9936104288c	45	0.11569266
10007	doc-4d143f69ba4fd62f	46	0.11556617
10007	doc-309c814d4ba7f736	47	0.11411958
10007	doc-757c194f020f514e	48	0.11211465
10007	doc-7a032428a3e9b53b	49	0.11100811
10007	doc-5631283746b4487a	50	0.11006681
10007	doc-7ae9805397edaaa8	51	0.10953579
10007	doc-406612505a0b0b9f	52	0.10920075
10007	doc-62fdebafdfbaeeb7	53	0.10828740
10007	doc-d3f2c492d639b3ea	54	0.10798279
10007	doc-14c0a27f97c18e08	55	0.10683303
10007	doc-0bdc29a62f6c7fc8	56	0.10569419
10007	doc-befb0d84963f5ab6	57	0.10515132
10007	doc-918d9ca1fc30b042	58	0.10184897
10007	doc-58f081264fec2480	59	0.10062519
10007	doc-368d585e959425be	60	0.10031170
10007	doc-f7722c0505e959c3	61	0.09882735
10007	doc-2603f2774de507c7	62	0.09621157
10007	doc-56692af771d1c18a	63	0.09591075
10007	doc-ff5908f80fde40b7	64	0.09576298
10007	doc-6bfce5829aca6187	65	0.09385949
10007	doc-d0b1dd17b184c71c	66	0.09307400
10007	doc-e0b67ba97343829f	67	0.09281280
10007	doc-9c6ffc8c9455b2c9	68	0.09172299
10007	doc-6f3c7c5898547879	69	0.09136712
10007	doc-f952d93f49261451	70	0.08820672
10007	doc-78c12b84556bb09d	71	0.08798825
10007	doc-cd78c4b91df10277	72	0.08616831
10007	doc-f17aaa54c8c1cd07	73	0.08494026
10007	doc-4e72fa5c1199271e	74	0.08440276
10007	doc-0cc75c1cd1e762f0	75	0.08384695
10007	doc-1b890cdbb1fe2f6b	76	0.08096430
10007	doc-166a17809c28df2f	77	0.08057152
10007	doc-8852092f5a414531	78	0.07868448
10007	doc-167395d44df300fe	79	0.07849842
10007	doc-491ad0d7a59984bd	80	0.07746413
10007	doc-db59382f2a64667d	81	0.07643244
10007	doc-61ab00409dd34401	82	0.07520744
10007	doc-6717224309415d79	83	0.07469845
10007	doc-036fdbb06c478f12	84	0.07412541
10007	doc-9b4625f96a64ee0a	85	0.07359273
10007	doc-31869dfad0455f70	86	0.07323871
10007	doc-8550e39884f7980a	87	0.06841778
10007	doc-0decdab90027cfdd	88	0.06787390
10007	doc-b23378d73e714cb1	89	0.06586195
10007	doc-8b6b6bbffde7d317	90	0.06531604
10007	doc-f5841a4f496dbda9	91	0.06110587
10007	doc-c01e63b6735fbc8c	92	0.05761468
10007	doc-27fa34d8322e71c8	93	0.05555795
10007	doc-c3f766b0d2f27d98	94	0.05187160
10007	doc-60a03530f37caeee	95	0.04953896
10007	doc-5e763a5323f3b22d	96	0.04838541
10007	doc-ab73ac43b6251bb7	97	0.04805627
10007	doc-56568b6ac823c4cb	98	0.04443128
10007	doc-40e6b0a653dfbab4	99	0.03227485
10007	doc-463b3510c3cef8b8	100	0.00000000
10010	doc-64a29d3fe4361bbf	1	1.00000000
10010	doc-90d3b26e2f635f51	2	0.18755982
10010	doc-e0b67ba97343829f	3	0.15641369
10010	doc-2a9d2c0363aab0aa	4	0.15600795
10010	doc-263368468342e04f	5	0.15248906
10010	doc-d3f2c492d639b3ea	6	0.15195609
10010	doc-0cc75c1cd1e762f0	7	0.14968457
10010	doc-f952d93f49261451	8	0.14510817
10010	doc-4710bbc7d191fa07	9	0.13693415
10010	doc-406612505a0b0b9f	10	0.13322926
10010	doc-c83d009a3690a72f	11	0.13020185
10010	doc-2d20028295cdadcd	12	0.12942400
10010	doc-f17aaa54c8c1cd07	13	0.12692326
10010	doc-29bb6e3505e8cb1e	14	0.12430546
10010	doc-62fdebafdfbaeeb7	15	0.12288677
10010	doc-72bc393db4b63d09	16	0.12069328
10010	doc-be8786dc770dcdda	17	0.11975914
10010	doc-de9f1a76beddefa5	18	0.11447163
10010	doc-6b145832e4c9fd1c	19	0.11183270
10010	doc-8852092f5a414531	20	0.11092677
10010	doc-72ba35a72fed92d6	21	0.11001590
10010	doc-7e4425fcd0c03820	22	0.10808832
10010	doc-a6d7c36db2b9fc44	23	0.10583490
10010	doc-6f83e7e8b96cef8e	24	0.10146577
10010	doc-5653d8ebd9c49f5b	25	0.10064938
10010	doc-27fa34d8322e71c8	26	0.09878512
10010	doc-555085c66c6745a3	27	0.09686917
10010	doc-522e3b5cdc936e76	28	0.09525954
10010	doc-0081e300f0c5403c	29	0.09390910
10010	doc-02f312791c6dac9b	30	0.09207257
10010	doc-6bfce5829aca6187	31	0.09175121
10010	doc-166a17809c28df2f	32	0.09098968
10010	doc-6f3c7c5898547879	33	0.09077337
10010	doc-befb0d84963f5ab6	34	0.09076103
10010	doc-9c8a0a64eefd6ce9	35	0.09025462
10010	doc-60a03530f37caeee	36	0.08990916
10010	doc-3e7f8b736adab609	37	0.08826839
10010	doc-ff5908f80fde40b7	38	0.08799013
10010	doc-9785f9936104288c	39	0.08714885
